도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도45호선,만정터널(창원),충청북도,충주시,대소원면,만정리,445,11.4,7.6,7.3,,28422,전문관리기관,한국도로공사,충주지사,2004,
고속국도,고속국도55호선,만종터널(부산),강원특별자치도,원주시,호저면,만종리,434,10.1,8.4,6.7,,23798,전문관리기관,한국도로공사,홍천지사,1994,
고속국도,고속국도55호선,만종터널(춘천),강원특별자치도,원주시,호저면,만종리,423,10.1,8.4,6.7,,23798,전문관리기관,한국도로공사,홍천지사,1994,
고속국도,고속국도700호선,매곡터널(달서),대구광역시,달성군,다사읍,매곡리,100,9.1,9.1,5.4,,10427,전문관리기관,한국도로공사,대구지사,2022,
고속국도,고속국도700호선,매곡터널(상매),대구광역시,달성군,다사읍,매곡리,100,9.1,9.1,5.4,,10427,전문관리기관,한국도로공사,대구지사,2022,
고속국도,고속국도52호선,매봉터널(상행),강원특별자치도,원주시,가현동,,530,11.6,9.2,7.2,1,6695,전문관리기관,제2영동고속도로㈜,본사,2016,
고속국도,고속국도52호선,매봉터널(하행),강원특별자치도,원주시,지정면,신평리,530,11.6,9.2,7.2,1,6695,전문관리기관,제2영동고속도로㈜,본사,2016,
고속국도,고속국도45호선,매현1터널(양평),충청북도,충주시,대소원면,매현리,328,11.4,7.2,7.3,,27481,전문관리기관,한국도로공사,충주지사,2004,
고속국도,고속국도45호선,매현1터널(창원),충청북도,충주시,대소원면,매현리,328,11.4,7.2,7.3,,27481,전문관리기관,한국도로공사,충주지사,2004,
고속국도,고속국도45호선,매현2터널(양평),충청북도,충주시,대소원면,문주리,970,11.4,7.2,7.3,,27481,전문관리기관,한국도로공사,충주지사,2004,
고속국도,고속국도45호선,매현2터널(창원),충청북도,충주시,대소원면,문주리,970,11.4,7.2,7.3,,27481,전문관리기관,한국도로공사,충주지사,2004,
고속국도,고속국도29호선,모현터널(세종),경기도,용인시 처인구,모현읍,초부리,316,11.3,,7.5,,10253,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,모현터널(포천),경기도,용인시 처인구,모현읍,초부리,327,11.3,,7.5,,10253,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도25호선,못재터널(순천),전라남도,장성군,남면,녹진리,1022,13,9.1,8.2,,25128,전문관리기관,한국도로공사,광주지사,2012,
고속국도,고속국도25호선,못재터널(천안),전라남도,장성군,남면,녹진리,1014,13,9.1,8.2,,25128,전문관리기관,한국도로공사,광주지사,2012,
고속국도,고속국도15호선,몽탄1터널(목포),전라남도,무안군,몽탄면,내리,290,10,10,6.7,,18498,전문관리기관,한국도로공사,함평지사,1998,
