도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도
일반국도,일반국도42호선,간석지하차도,인천광역시,남동구,간석동,,140,17,17,4.5,,14461,자치단체,인천,남동구,1981
일반국도,일반국도32호선,갈마지하차도,대전광역시,서구,둔산동,,260,25.8,25.8,4.7,,12351,자치단체,대전,건설관리본부,1993
일반국도,일반국도79호선,검암지하차도,경상남도,함안군,가야읍,검암리,50,15.6,13.6,4.5,,2745,국토교통부,부산,진주,2011
일반국도,일반국도38호선,고대지하차도,충청남도,당진시,송악읍,고대리,440,18.5,18.5,7,,13335,국토교통부,대전,예산,2002
일반국도,일반국도38호선,고명지하차도,충청북도,제천시,고명동,,168,21.8,19,7.4,2,11347,국토교통부,대전,충주,2002
일반국도,일반국도77호선,고속종점지하차도,인천광역시,미추홀구,용현동,,190,16.5,16.5,6.7,,91452,자치단체,인천,미추홀구,1996
일반국도,일반국도1호선,고천지하차도,경기도,의왕시,왕곡동,,495,7,6.5,8.8,,39261,자치단체,경기,의왕시,2010
일반국도,일반국도4호선,관저지하차도,대전광역시,서구,관저동,,160,20.5,20.5,5,,16012,자치단체,대전,건설관리본부,2001
일반국도,일반국도4호선,관호지하차도,경상북도,칠곡군,약목면,관호리,89,16,16,4.5,,14605,국토교통부,부산,대구,2021
일반국도,일반국도47호선,구룡지하차도,서울특별시,강남구,개포동,,380,21.3,21.3,6.5,,31126,자치단체,서울,서울시설공단,2014
일반국도,일반국도7호선,구서 지하차도,부산광역시,금정구,구서동,,140,17,17,5,,13926,자치단체,부산,건설안전시험사업소,1998
일반국도,일반국도43호선,금신 지하차도,경기도,의정부시,금오동,,120,13,13,5.1,,20224,자치단체,경기,의정부시,2007
일반국도,일반국도36호선,나무고개지하차도,경상북도,영주시,가흥동,,120,20,20,4.5,,7336,국토교통부,부산,영주,2018
일반국도,일반국도45호선,남동지하차도,충청남도,아산시,신동,,43,20.5,14,7.2,,8905,국토교통부,대전,예산,2015
일반국도,일반국도35호선,남부지하차도,경상남도,양산시,남부동,,120,33.5,32,7.4,,14358,자치단체,경남,양산시,2005
일반국도,일반국도4호선,남북1지하차도,전북특별자치도,부안군,하서면,장신리,60,32,30,0,,871,국토교통부,익산,전주,2023
일반국도,일반국도4호선,남북2지하차도,전북특별자치도,군산시,옥서면,선연리,95,29.4,27,7.6,,1938,국토교통부,익산,전주,2022
일반국도,일반국도4호선,남북3지하차도,전북특별자치도,군산시,오식도동,,100,29,29,0,,1938,국토교통부,익산,전주,2022
일반국도,일반국도19호선,남해지하차도,경상남도,남해군,남해읍,남변리,120,23.8,15.6,5.9,,6155,국토교통부,부산,진주,1993
일반국도,일반국도17호선,내거지하차도,충청북도,청주시 흥덕구,서촌동,,31,21,21,10,,27280,국토교통부,대전,보은,2016
일반국도,일반국도47호선,능산지하차도,서울특별시,중랑구,신내동,,156,15,15,4.5,,17704,자치단체,서울,성동도로사업소,1995
일반국도,일반국도23호선,다송1지하도(상),전북특별자치도,익산시,함열읍,다송리,130,12.6,11,6.7,,6475,국토교통부,익산,전주,2016
일반국도,일반국도23호선,다송지하차도B,전북특별자치도,익산시,함열읍,다송리,35,12.6,11,6.7,,6475,국토교통부,익산,전주,2016
일반국도,일반국도5호선,단양역지하차도,충청북도,단양군,단양읍,상진리,30,18,16,5,,2616,국토교통부,대전,충주,2022
일반국도,일반국도5호선,단양지하차도,충청북도,단양군,매포읍,고양리,120,18,14,5.3,2,6812,국토교통부,대전,충주,2002
일반국도,일반국도23호선,단주지하차도(상),전라남도,영광군,영광읍,단주리,60,10,10,4.5,,3768,자치단체,전남,영광군,2017
일반국도,일반국도47호선,대야지하차도,경기도,군포시,부곡동,,101.3,16,16,4.5,,31126,자치단체,경기,군포시,2003
일반국도,일반국도38호선,동곡지하차도,충청남도,당진시,송산면,동곡리,120,19.3,19.3,7.1,,9093,국토교통부,대전,예산,2013
일반국도,일반국도1호선,두정지하차도,충청남도,천안시 서북구,부대동,,170,13,13,7.4,,26128,자치단체,충남,천안시서북구,2010
일반국도,일반국도4호선,마곡지하차도,경상북도,김천시,남면,부상리,83,5,5,5,,6885,국토교통부,부산,대구,2008
일반국도,일반국도48호선,마송지하차도,경기도,김포시,통진읍,마송리,156.5,17.5,16.5,5,,17343,국토교통부,서울,의정부,2012
일반국도,일반국도43호선,망포지하차도,경기도,수원시 영통구,망포동,,871,25,25,5.1,,30888,국토교통부,서울,수원,2012
일반국도,일반국도17호선,매봉지하차도(하행),충청북도,청주시 서원구,현도면,매봉리,96,12.6,10.3,4.5,,9898,국토교통부,대전,보은,1993
일반국도,일반국도47호선,매헌지하차도,서울특별시,서초구,양재동,,401,3.5,3.5,4.3,,31126,자치단체,서울,남부도로사업소,2020
일반국도,일반국도7호선,명정지하차도,울산광역시,중구,태화동,,165,32,32,4.8,,13861,자치단체,울산,종합건설본부,2021
일반국도,일반국도43호선,문혜지하차도,강원특별자치도,철원군,갈말읍,문혜리,90,22.2,19,5,,4208,국토교통부,원주,홍천,2006
일반국도,일반국도5호선,반곡지하차도,강원특별자치도,원주시,반곡동,,40,22.8,19,5,,9546,국토교통부,원주,홍천,2013
일반국도,일반국도1호선,범계지하차도,경기도,안양시 동안구,호계동,,160,18.9,18.9,4.3,,39261,자치단체,경기,안양시,1993
일반국도,일반국도77호선,별망지하차도,경기도,안산시 단원구,초지동,,150,16.5,16.5,4.7,,14392,자치단체,경기,안산시단원구,2018
일반국도,일반국도17호선,병암지하차도,전북특별자치도,임실군,관촌면,병암리,80,18.5,17,5.1,,8160,국토교통부,익산,남원,2002
일반국도,일반국도1호선,비산지하차도,경기도,안양시 동안구,비산동,,240,26,26,4.5,,39261,자치단체,경기,안양시,1993
일반국도,일반국도13호선,비아지하보차도,광주광역시,광산구,비아동,,350,24.5,24.5,5,,10460,자치단체,광주,종합건설본부,2000
일반국도,일반국도1호선,비전지하차도,경기도,평택시,합정동,,410,15.8,15.8,4.5,2,14511,자치단체,경기,평택시,1988
일반국도,일반국도1호선,사오리지하차도,세종특별자치시,세종시,새롬동,,1825,21,21,6.5,,32233,자치단체,세종,시청,2013
일반국도,일반국도14호선,삼성1 지하차도,부산광역시,기장군,일광면,삼성리,368,17,17,2.2,,16185,국토교통부,부산,김해,2019
일반국도,일반국도47호선,삼성지하차도,경기도,군포시,부곡동,,80,15.4,15.4,4.5,,31126,자치단체,경기,군포시,2014
일반국도,일반국도39호선,상신지하차도,경기도,화성시,향남읍,상신리,340,19,19,7.4,,17292,국토교통부,서울,수원,2013
일반국도,일반국도43호선,상현지하차도,경기도,용인시 수지구,상현동,,1065,17,17,5,,23651,자치단체,경기,용인시수지구,2017
일반국도,일반국도34호선,서안동IC지하차도,경상북도,안동시,풍산읍,노리,90,20,17.4,4.9,,14470,국토교통부,부산,영주,2000
일반국도,일반국도35호선,석산지하차도,경상남도,양산시,동면,석산리,175,18.4,14,4.8,,14358,국토교통부,부산,김해,2010
일반국도,일반국도59호선,선산지하차도,경상북도,구미시,선산읍,동부리,85,20.5,20.5,5.3,,3199,국토교통부,부산,대구,2021
